expected,expected_subclass,total,train,test,share_pct,test_share_pct
contract,Maintenance,34,30,4,2.0606060606060606,11.764705882352942
contract,License_Agreements,33,31,2,2.0,6.0606060606060606
contract,Distributor,32,27,5,1.9393939393939394,15.625
contract,Strategic Alliance,32,28,4,1.9393939393939394,12.5
contract,Sponsorship,31,28,3,1.878787878787879,9.67741935483871
contract,Development,28,24,4,1.696969696969697,14.285714285714286
contract,Service,28,21,7,1.696969696969697,25.0
contract,Collaboration,26,24,2,1.5757575757575757,7.6923076923076925
contract,Endorsement,24,24,0,1.4545454545454546,0.0
contract,Co_Branding,22,17,5,1.3333333333333333,22.727272727272727
contract,Hosting,20,18,2,1.2121212121212122,10.0
contract,Outsourcing,18,18,0,1.0909090909090908,0.0
contract,Supply,18,15,3,1.0909090909090908,16.666666666666668
contract,IP,17,15,2,1.0303030303030303,11.764705882352942
contract,Manufacturing,17,15,2,1.0303030303030303,11.764705882352942
contract,Marketing,17,15,2,1.0303030303030303,11.764705882352942
contract,Franchise,15,14,1,0.9090909090909091,6.666666666666667
contract,Joint Venture _ Filing,14,14,0,0.8484848484848485,0.0
contract,Agency Agreements,13,13,0,0.7878787878787878,0.0
contract,Transportation,13,11,2,0.7878787878787878,15.384615384615385
contract,Promotion,12,12,0,0.7272727272727273,0.0
contract,Reseller,12,12,0,0.7272727272727273,0.0
contract,Consulting Agreements,11,11,0,0.6666666666666666,0.0
contract,Affiliate_Agreements,10,8,2,0.6060606060606061,20.0
contract,Joint Venture,9,7,2,0.5454545454545454,22.22222222222222
contract,Non_Compete_Non_Solicit,3,3,0,0.18181818181818182,0.0
corporate_record,articles_of_incorporation,20,19,1,1.2121212121212122,5.0
corporate_record,rights_instrument,14,14,0,0.8484848484848485,0.0
corporate_record,bylaws,2,2,0,0.12121212121212122,0.0
corporate_record,powers_of_attorney,2,2,0,0.12121212121212122,0.0
corporate_record,other,1,1,0,0.06060606060606061,0.0
correspondence,demand,51,45,6,3.090909090909091,11.764705882352942
correspondence,email,50,45,5,3.0303030303030303,10.0
correspondence,notice,50,46,4,3.0303030303030303,8.0
correspondence,letter,49,38,11,2.9696969696969697,22.448979591836736
correspondence,meeting_request,49,44,5,2.9696969696969697,10.204081632653061
correspondence,memo,49,45,4,2.9696969696969697,8.16326530612245
correspondence,press_release,49,44,5,2.9696969696969697,10.204081632653061
correspondence,attorney_demand,3,3,0,0.18181818181818182,0.0
insurance_claim,carrier,150,130,20,9.090909090909092,13.333333333333334
insurance_claim,inpatient,150,135,15,9.090909090909092,10.0
insurance_claim,outpatient,150,135,15,9.090909090909092,10.0
insurance_claim,pde,150,136,14,9.090909090909092,9.333333333333334
merger_agreement,all_cash,57,51,6,3.4545454545454546,10.526315789473685
merger_agreement,other,57,49,8,3.4545454545454546,14.035087719298245
merger_agreement,all_stock,24,22,2,1.4545454545454546,8.333333333333334
merger_agreement,mixed_cash_stock,13,12,1,0.7878787878787878,7.6923076923076925
merger_agreement,mixed_cash_stock_election,1,1,0,0.06060606060606061,0.0
