clause,contracts_present,coverage_pct,mean_spans,max_spans
Document Name,509,100.0,1.0216110019646365,2
Parties,508,99.80353634577604,5.019685039370079,55
Agreement Date,469,92.14145383104125,1.0127931769722816,2
Effective Date,389,76.42436149312377,1.1465295629820051,3
Expiration Date,412,80.94302554027504,1.1310679611650485,7
Governing Law,436,85.6581532416503,1.061926605504587,4
Anti-Assignment,373,73.28094302554028,1.7453083109919572,10
Audit Rights,213,41.846758349705304,3.0140845070422535,19
Cap On Liability,274,53.83104125736738,2.448905109489051,16
Change Of Control,120,23.575638506876228,2.091666666666667,11
Competitive Restriction Exception,76,14.931237721021612,1.644736842105263,6
Covenant Not To Sue,99,19.44990176817289,1.7373737373737375,5
Exclusivity,179,35.16699410609037,2.2681564245810057,12
Insurance,165,32.416502946954814,3.3636363636363638,17
Ip Ownership Assignment,124,24.361493123772103,2.564516129032258,15
Irrevocable Or Perpetual License,69,13.555992141453832,2.3768115942028984,10
Joint Ip Ownership,45,8.840864440078585,2.4444444444444446,11
License Grant,254,49.90176817288802,3.031496062992126,16
Liquidated Damages,61,11.984282907662083,1.9836065573770492,10
Minimum Commitment,165,32.416502946954814,2.56969696969697,14
Most Favored Nation,28,5.50098231827112,1.3571428571428572,3
Non-Compete,118,23.18271119842829,2.1864406779661016,12
Non-Disparagement,38,7.465618860510806,1.7105263157894737,3
Non-Transferable License,137,26.91552062868369,2.167883211678832,12
Notice Period To Terminate Renewal,111,21.807465618860512,1.0990990990990992,3
No-Solicit Of Customers,34,6.679764243614931,1.7058823529411764,6
No-Solicit Of Employees,59,11.591355599214145,1.5423728813559323,4
Post-Termination Services,181,35.55992141453831,2.4751381215469612,23
Price Restrictions,15,2.9469548133595285,1.8,7
Renewal Term,176,34.577603143418465,1.1931818181818181,5
Revenue/Profit Sharing,165,32.416502946954814,2.521212121212121,11
Rofr/Rofo/Rofn,84,16.50294695481336,4.25,22
Source Code Escrow,13,2.5540275049115913,5.076923076923077,11
Termination For Convenience,182,35.75638506876228,1.3461538461538463,4
Third Party Beneficiary,32,6.286836935166994,1.21875,4
Uncapped Liability,110,21.611001964636543,1.509090909090909,5
Unlimited/All-You-Can-Eat-License,17,3.3398821218074657,1.8823529411764706,5
Volume Restriction,82,16.110019646365423,2.0853658536585367,10
Warranty Duration,75,14.734774066797643,2.3466666666666667,10
Affiliate License-Licensee,58,11.394891944990176,1.9137931034482758,10
Affiliate License-Licensor,22,4.322200392927308,2.727272727272727,10
