,Document Name,Parties,Agreement Date,Governing Law,Expiration Date,Effective Date,Anti-Assignment,Cap On Liability,License Grant,Audit Rights,Termination For Convenience,Post-Termination Services,Exclusivity,Renewal Term,Minimum Commitment
Document Name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parties,0.0,1.0,0.15192336443555127,-0.018154585148942883,0.09143887722696671,0.07988262386652385,0.07347728583118177,0.04790816031143548,0.04428074427700476,0.037636747900277524,0.03310014997311817,0.032958733094436754,0.03267666226438427,0.03225539473063981,0.030727759474844452
Agreement Date,0.0,0.15192336443555127,1.0,0.13046596202717758,0.04419106601811371,0.11300155715005467,0.0711531673828678,0.007797289539081462,-0.015175824882705056,-0.018667362186710435,0.01984209575123781,0.018667898046432506,0.0010213603979603283,-0.0025936034999280086,0.015077435954147785
Governing Law,0.0,-0.018154585148942883,0.13046596202717758,1.0,0.4294156332911393,0.30094552569941907,0.5383044557556099,0.37437304177829855,0.28506462560937,0.29029304365634945,0.18831620983321726,0.26883449768680523,0.230927713803112,0.16783980813834823,0.18758404474075954
Expiration Date,0.0,0.09143887722696671,0.04419106601811371,0.4294156332911393,1.0,0.3079529683676619,0.48703534775258966,0.29315444655286493,0.25416204022721217,0.2595021386882726,0.17412692875706048,0.23504816818829924,0.16879083099582928,0.31068436001398725,0.20780112849218763
Effective Date,0.0,0.07988262386652385,0.11300155715005467,0.30094552569941907,0.3079529683676619,1.0,0.29222024640154226,0.2747859351978934,0.20256053777466754,0.1802943752409391,0.16327750211134748,0.19020528640732398,0.09887483566270414,0.1313065564954273,0.13744844380610655
Anti-Assignment,0.0,0.07347728583118177,0.0711531673828678,0.5383044557556099,0.48703534775258966,0.29222024640154226,1.0,0.36701988238737393,0.398408167731872,0.3682176718704254,0.19109787540110307,0.3001554644236602,0.2215551414327508,0.21494398233793513,0.20002121724308924
Cap On Liability,0.0,0.04790816031143548,0.007797289539081462,0.37437304177829855,0.29315444655286493,0.2747859351978934,0.36701988238737393,1.0,0.34891758318490584,0.41013589445036697,0.23867597573384455,0.25163343453532006,0.17862047061397285,0.2175611270126666,0.2877689668092764
License Grant,0.0,0.04428074427700476,-0.015175824882705056,0.28506462560937,0.25416204022721217,0.20256053777466754,0.398408167731872,0.34891758318490584,1.0,0.33222123503389434,0.09164647124427432,0.37493829436999765,0.39232470438490813,0.16665581079044997,0.23221726882319318
Audit Rights,0.0,0.037636747900277524,-0.018667362186710435,0.29029304365634945,0.2595021386882726,0.1802943752409391,0.3682176718704254,0.41013589445036697,0.33222123503389434,1.0,0.13161262956896427,0.4014852011401786,0.2676865694780039,0.2290109907272456,0.34845367468902105
Termination For Convenience,0.0,0.03310014997311817,0.01984209575123781,0.18831620983321726,0.17412692875706048,0.16327750211134748,0.19109787540110307,0.23867597573384455,0.09164647124427432,0.13161262956896427,1.0,0.13085254059644366,-0.06871126891970479,0.0953957049471247,-0.017498071597108714
Post-Termination Services,0.0,0.032958733094436754,0.018667898046432506,0.26883449768680523,0.23504816818829924,0.19020528640732398,0.3001554644236602,0.25163343453532006,0.37493829436999765,0.4014852011401786,0.13085254059644366,1.0,0.27803664563020186,0.193416232786722,0.25714325091230544
Exclusivity,0.0,0.03267666226438427,0.0010213603979603283,0.230927713803112,0.16879083099582928,0.09887483566270414,0.2215551414327508,0.17862047061397285,0.39232470438490813,0.2676865694780039,-0.06871126891970479,0.27803664563020186,1.0,0.16528280473243018,0.2810711809574556
Renewal Term,0.0,0.03225539473063981,-0.0025936034999280086,0.16783980813834823,0.31068436001398725,0.1313065564954273,0.21494398233793513,0.2175611270126666,0.16665581079044997,0.2290109907272456,0.0953957049471247,0.193416232786722,0.16528280473243018,1.0,0.21133354249480663
Minimum Commitment,0.0,0.030727759474844452,0.015077435954147785,0.18758404474075954,0.20780112849218763,0.13744844380610655,0.20002121724308924,0.2877689668092764,0.23221726882319318,0.34845367468902105,-0.017498071597108714,0.25714325091230544,0.2810711809574556,0.21133354249480663,1.0
