expected,expected_subclass,total,train,test,share_pct,test_share_pct
contract,Maintenance,34,30,4,2.809917355371901,11.764705882352942
contract,License_Agreements,33,31,2,2.727272727272727,6.0606060606060606
contract,Distributor,32,27,5,2.644628099173554,15.625
contract,Strategic Alliance,32,28,4,2.644628099173554,12.5
contract,Sponsorship,31,28,3,2.56198347107438,9.67741935483871
contract,Development,28,24,4,2.3140495867768593,14.285714285714286
contract,Service,28,21,7,2.3140495867768593,25.0
contract,Collaboration,26,24,2,2.1487603305785123,7.6923076923076925
contract,Endorsement,24,24,0,1.9834710743801653,0.0
contract,Co_Branding,22,17,5,1.8181818181818181,22.727272727272727
contract,Hosting,20,18,2,1.6528925619834711,10.0
contract,Outsourcing,18,18,0,1.487603305785124,0.0
contract,Supply,18,15,3,1.487603305785124,16.666666666666668
contract,IP,17,15,2,1.4049586776859504,11.764705882352942
contract,Manufacturing,17,15,2,1.4049586776859504,11.764705882352942
contract,Marketing,17,15,2,1.4049586776859504,11.764705882352942
contract,Franchise,15,14,1,1.2396694214876034,6.666666666666667
contract,Joint Venture _ Filing,14,14,0,1.1570247933884297,0.0
contract,Agency Agreements,13,13,0,1.0743801652892562,0.0
contract,Transportation,13,11,2,1.0743801652892562,15.384615384615385
contract,Promotion,12,12,0,0.9917355371900827,0.0
contract,Reseller,12,12,0,0.9917355371900827,0.0
contract,Consulting Agreements,11,11,0,0.9090909090909091,0.0
contract,Affiliate_Agreements,10,8,2,0.8264462809917356,20.0
contract,Joint Venture,9,7,2,0.743801652892562,22.22222222222222
contract,Non_Compete_Non_Solicit,3,3,0,0.24793388429752067,0.0
corporate_record,articles_of_incorporation,20,19,1,1.6528925619834711,5.0
corporate_record,rights_instrument,14,14,0,1.1570247933884297,0.0
corporate_record,bylaws,2,2,0,0.1652892561983471,0.0
corporate_record,powers_of_attorney,2,2,0,0.1652892561983471,0.0
corporate_record,other,1,1,0,0.08264462809917356,0.0
correspondence,demand,16,15,1,1.322314049586777,6.25
correspondence,notice,16,13,3,1.322314049586777,18.75
correspondence,email,15,15,0,1.2396694214876034,0.0
correspondence,letter,15,11,4,1.2396694214876034,26.666666666666668
correspondence,meeting_request,15,13,2,1.2396694214876034,13.333333333333334
correspondence,memo,15,15,0,1.2396694214876034,0.0
correspondence,press_release,15,14,1,1.2396694214876034,6.666666666666667
correspondence,attorney_demand,3,3,0,0.24793388429752067,0.0
insurance_claim,carrier,100,85,15,8.264462809917354,15.0
insurance_claim,inpatient,100,89,11,8.264462809917354,11.0
insurance_claim,outpatient,100,88,12,8.264462809917354,12.0
insurance_claim,pde,100,92,8,8.264462809917354,8.0
merger_agreement,all_cash,57,51,6,4.710743801652892,10.526315789473685
merger_agreement,other,57,49,8,4.710743801652892,14.035087719298245
merger_agreement,all_stock,24,22,2,1.9834710743801653,8.333333333333334
merger_agreement,mixed_cash_stock,13,12,1,1.0743801652892562,7.6923076923076925
merger_agreement,mixed_cash_stock_election,1,1,0,0.08264462809917356,0.0
